Código;Título;Autorxs;Org.;Tradução;Ano;Colecção;Volume;Editora;Local;Edição;Nº de Páginas;Ex. N.º;ISBN#;Formato;Etiquetas;Estatuto;Estado
0220/AGRABS;Renovação 1919;[Maria Lacerda de Moura];[Adelaide Gonçalves* Allyson Bruno* Camila Queiroz];[-];2015;-;-;Edições UFC;[Fortaleza];1;304;;978-85-7282-659-4;Impresso;[anarquismo* educação* pedagogia libertária];Disponível para requisição;
0221/AGRABS;História do Anarquismo;[Jean Préposiet];[-];[Pedro Éloi Duarte];2007;Lugar da História;72;Edições 70;[Lisboa];1;537;;978-972-44-1308-2;Impresso;[anarquismo* história];Disponível para requisição;
0222/AGRABS;A Pedagogia Libertária;[Edmond Marc Lipiansky];[-];[Plínio Augusto Coêlho];2007;-;-;Editora Imaginário/EDUA;[São Paulo];1;88;;85-7663-018-4;Impresso;[anarquismo* educação* pedagogia libertária];Disponível para requisição;
0223/AGRABS;Relatório contra a normalidade. Manifesto dos homessexuais franceses;[Frente Homossexual de Acção Revolucionária];[-];[-];1974;-;-;Assírio & Alvim;[Maia];34;133;;-;Impresso;[Homossexualidade];?;
0224/AGRABS;Por encima de su cadáver. La economía política de los derechos de los animales;[Bob Torres];[-];[Promoviendo el veganismo];2014;-;-;Ochodoscuatro ediciones;[Madrid (Oakland, Edinburgh, West Virginia)];;257;;978-84-695-9964-8;Impresso;[Especismo* Ética animal];Disponível para requisição;
0225/AGRABS;Cómo la no-violencia protege al estado;[Peter Geldergloos];[-];[-];2015;-;-;Editorial Descontrol;[Barcelona];3;237;;978-84-16553-15-0;Impresso;[Violencia* Estado* Autodefesa];Disponível para requisição;
0226/AGRABS;Beyond capitalism? The future of radical politics;[Luke Cooper* Simon Hardy];[-];[-];2012;-;-;Zero Books;[Croydon (UK)];1;174;;978-1-78099-832-9;Impresso;[Capitalismo* Austeridade];Disponível para requisição;
0227/AGRABS;Manifestly Haraway;[Donna J. Haraway];[-];[-];2016;Posthumanities;37;University of Minnesota Press;[Minneapolis/Londres];1;336;;978-0-8166-5048-4;Impresso;[Teoria* Filosofia];Disponível para requisição;
0228/AGRABS;O impossível capitalismo verde;[Daniel Tanuro];[-];[Ângelo Ferreira de Sousa];2012;-;-;Edições Combate;[Sta. Maria da Feira];1;237;;978-989-96052-5-1;Impresso;[Ecologia* Capitalismo];Disponível para requisição;
0229/AGRABS;A rádio como instrumento pedagógico na difusão dos direitos humanos;[Sofia Carvalho de Almeida];[Rita Costa];[-];2015;Compendium ;-;Chiado Editora;[Lisboa];1;271;;978-989-51-4584-3;Impresso;[Transformação social* Direitos humanos];Disponível para requisição;
0230/AGRABS;A revolução electrónica;[William Burroughs];[-];[Maria Leonor Teles* José Augusto Mourão];1994;Passagens;-;Nova Vega;[Lisboa];1;94;;972-699-419-5;Impresso;[Tecnologia];Disponível para requisição;
0231/AGRABS;Rescata tu dinero. Finanzas solidarias y transformación social;[Nuria del Río Paracolls ];[Programa d'Actuació Integral];[-];2003;-;-;Talasa Ediciones;[Madrid];1;317;;84-88119-94-1;Impresso;[Economia solidaria* Transformação social];Disponível para requisição;
0232/AGRABS;La dimensión cooperativa. Economía solidaria y transformación social;[Jordi Garcia* Jordi Via* Lluís M. Xirinacs];[-];[-];2006;Antrazyt;237;Icaria Editorial, s.a.;[Barcelona];1;239;;84-7426-843-5;Impresso;[Economia solidaria];Disponível para requisição;
0233/AGRABS;La economía desenmascarada. Del poder y la codicia a la compasión y el bien común;[Manfred Max-Neef* Philip B.Smith];[-];[-];2014;Antrazyt;402;Icaria Editorial, s.a.;[Barcelona];1;223;;978-84-9888-557-6;Impresso;[Economia* Bien común];Disponível para requisição;
0234/AGRABS;Instruir para revoltar;[Grégory Chambat];[-];[Plínio Augusto Coêlho];2006;-;-;Editora Imaginário;[São Paulo];1;112;;85-7663-013-3;Impresso;[Pedagogia* Ação direta];Disponível para requisição;
0235/AGRABS;Aprendiendo a obedecer. Crítica del sistema de enseñanza;[Héctor C.García* Alfredo Olmeda];[-];[-];2017;-;-;La Neurosis o Las Barricadas Ed.;[Madrid];3;231;;978-84-941614-2-1;Impresso;[Sistema educativo];Disponível para requisição;
0236/AGRABS;Uma educação para a liberdade;[Paulo Freire];[-];[José Reis* Fátima Silva];1974;Textos Marginais;8;Dinalivro;[Porto];4;70;;-;Impresso;[Educação];Disponível para requisição;
0237/AGRABS;O educador mercenário. Para uma crítica radical das escolas da democracia;[Pedro García Olivo];[];[Paulo L.Marques];2017;Escritos Afugentáveis I;;Textos Ígneos;[Portugal];1;121;;-;Impresso;[Educação];Disponível para requisição;
0238/AGRABS;Problemas de género;[Judith Butler];[-];[Nuno Quintas];2017;-;-;Orfeu Negro;[Lisboa];1;318;;978-989-8868-09-1;Impresso;[Género];Disponível para requisição;
0239/AGRABS;Hacia la comunidad cooperativa libre. Por una revolución social al margen del poder y la violencia;[Miguel Ángel Angueira Miranda];[-];[-];1969;-;-;Editorial Proyección S.R.L.;[Buenos Aires];1;206;;-;Impresso;[Cooperativismo];Disponível para requisição;
0240/AGRABS;Discurso sobre a servidão voluntária;[Étienne de la Boétie];[-];[Manuel João Gomes];2016;-;-;Antígona;[Lisboa];3;93;;978-972-608-013-8;Impresso;[Filosofia*  ...?];Disponível para requisição;
0241/AGRABS;O homem unidimensional. Sobre a ideologia da sociedade industrial avançada;[Herbert Marcuse];[-];[Miguel Serras Pereira];2011;-;-;Livraria Letra Livre;[Lisboa];1;319;;978-989-8268-05-1;Impresso;[Filosofia* Pensamento Político];Disponível para requisição;
0242/AGRABS;Chonguitas. Masculinidades de niñas;[-];[Fabi Tron* Valeria Flores];[-];2013;-;-;La Mondonga Dark;[Neuquén, Argentina];1;201;;978-84-16553-45-7;Impresso;[Género* Estigmatização* Normatividade];Disponível para requisição;
0243/AGRABS;La causa humana. Cómo hacer buen uso del fin de un mundo;[Patrick Viveret];[-];[Griselda Piñero];2013;Antrazyt;398;Icaria Editorial, s.a.;[Barcelona];1;150;;978-84-9888-547-7;Impresso;[Economía solidaria* Globalização];Disponível para requisição;
0244/AGRABS;A condição humana;[Hannah Arendt];[-];[Roberto Raposo];2001;Antropos;-;Relógio d'Agua Editores Lda.;[Lisboa];2;406;;972-708-637-3;Impresso;[Filosofia* Antropologia];Disponível para requisição;
0245/AGRABS;As Origens do Totalitarismo;[Hannah Arendt];[-];[Roberto Raposo];2016;-;-;D. Quixote;[Alfragide];6;674;;978-972-20-2909-4;Impresso;[Filosofia* Teoria política];Disponível para requisição;
0246/AGRABS;A sociedade do espectáculo;[Guy Debord];[-];[Francisco Alves* Afonso Monteiro];1991;-;-;Mobilis in Mobile;[Lisboa];2;174;;972-716-002-6;Impresso;[Filosofia];Disponível para requisição;
0247/AGRABS;Foucault: La longevidad de una impostura, seguido de Foucaultófilos y foucaultólatras;[Jean-Marc Mandosio];[-];[Javier Rodríguez Hidalgo];2015;-;-;Ediciones El Salmón;[];1;144;;978-84-943217-1-9;Impresso;[Filosofia];Disponível para requisição;
0248/AGRABS;A arqueologia do saber;[Michael Foucault];[-];[Miguel Serras Pereira];2014;-;-;Edições 70;[Lisboa];;268;;978-972-44-1823-0;Impresso;[Filosofia];Disponível para requisição;
0249/AGRABS;Foucault;[Gilles Deleuze];[-];[Pedro Elói Duarte];2015;-;-;Edições 70;[Lisboa];;183;;972-44-1245-8;Impresso;[Filosofia];Disponível para requisição;
0250/AGRABS;La sociedad carnívora;[Herbert Marcuse];[-];[Miguel Grinberg];2011;Exhumaciones;-;Ediciones Godot;[Buenos Aires];1;91;;978-987-1489-22-0;Impresso;[Capitalismo* Pensamento];Disponível para requisição;
0251/AGRABS;Anarquistas e orgulhosos de o ser;[Amedeo Bertolo];[-];[Andrea Mazzola* Lúcia Mascarenhas* Mário Rui Pinto* Thais Palermo Buti* Vanessa Badagliacca* Virgilio Caletti];2018;-;-;Barricada de Livros;[Lisboa];1;215;;-;Impresso;[Anarquismo];Disponível para requisição;
0252/AGRABS;Revolution in Rojava. Democratic autonomy and women's liberation in Syria Kurdistan;[Michael Knapp* Anja Flach* Ercan Ayboga];[-];[Janet Biehl];2016;-;-;Pluto Press;[Northampton];1;285;;978-0-7453-3659-6;Impresso (tem versão digital);[];Disponível para requisição;
0253/AGRABS;Durruti: da revolta à revolução;[-];[Plínio Augusto Coelho];[Plínio Augusto Coelho];2015;-;-;Intermezzo Editorial;[São Paulo];1;133;;978-85-68115-16-9;Impresso;[Anarquismo];Disponível para requisição;
0254/AGRABS;Galactolatria mau deleite. Implicações éticas, ambientais e nutricionais do consumo de leite bovino;[Sônia T. Felipe];[-];[-];2012;-;-;Edição da autora;[São José];1;303;;978-85-914092-0-4;Impresso;[Saúde* Ética animal];Disponível para requisição;
0255/AGRABS;De outro género: propostas para a promoção de um jornalismo mais inclusivo;[Carla Cerqueira* Sara I. Magalhães* Anabela Santos* Rosa Cabecinhas* Conceição Nogueira];[-];[-];2014;-;-;;[Braga];1;54;;978-989-8600-27-1;Impresso;[Jornalismo* Género];Disponível para requisição;
0256/AGRABS;Prevenção da violência doméstica: Projectos IMA/N e NOVC;[VV.AA.];[UMAR];[];2007;-;-;;[Porto];1;120;;978-989-95693-1-7;Impresso;[Violência de género];Disponível para requisição;
0257/AGRABS;Atendimento a homens autores de violência contra as mulheres: experiências latino-americanas;[-];[Maria Juracy Filgueiras Toneli* Mara Coelho de Souza Lago* Adriano Beiras* Danilo de Assis Clímaco];[-];2010;-;-;Universidade Federal de Santa Catarina;[Florianópolis];1;248;;9788560501052;Impresso;[Violência de género];Disponível para requisição;
0258/AGRABS;Os grupos de pressão ;[Jean Meynaud];[Presses universitaires de France];[-];1966;Colecção Saber;62;Publicações Europa-América;[Lisboa];;146;;-;Impresso;[Teoria política];Disponível para requisição;
0259/AGRABS;A vaca que não ri. Animais, carne e leite bovino na cultura dominante;[Rui Pedro Fonseca];[-];[-];2018;Intervenções 78018;-;Livros Horizonte, LDA;[Lisboa];1;143;;978-972-24-1889-8;Impresso;[Ética animal];Disponível para requisição;
0260/AGRABS;Masculinidades y feminismo;[Jokin Azpiazu Carballo];[-];[-];2017;-;-;Virus Editorial;[Barcelona];1;138;;978-84-92559-78-7;Impresso;[Masculinidades* Feminismos];Disponível para requisição;
0261/AGRABS;A via de Chuang Tzu;[Thomas Merton];[-];[-];;-;-;Editora Vozes;[Petrópolis, RJ];10;236;;85-326-0022-0;Impresso;[Filosofia];Disponível para requisição;
0262/AGRABS;Gender, education and social justice: Linking theories, methods, practices and agendas;[VV.AA.];[Revista Educação, Sociedade & Culturas/Sofia Marques da Silva* Prudencia Gutierrez Esteban* Lucie Jarkovská];[-];2012;;35;CIIE/Edições Afrontamento;[Porto];1;208;;0872-7643-00-35;Impresso;[Sociologia da Educação];Disponível para requisição;
0263/AGRABS;Gostar de mim, gostar de ti: aprender a prevenir a violência de género;[Maria José Magalhães* Ana Paula Canotilho* Elisabete Brasil];[-];[-];2007;-;-;UMAR;[Portugal];1;165;;978-989-95693-0-0;Impresso;[Violência de género* Educação];Disponível para requisição;
0264/AGRABS;El asalto de Hades. La rebelión de Edipo (1ª parte);[Casilda Rodrigáñez Bustos];[-];[-];2007;-;-;Virus Editorial;[Bilbao];1;277;;978-84-96044-84-5;Impresso;[Mitologia? Sexualidade* Género ];Disponível para requisição;
0265/AGRABS;XY - A Identidade Masculina;[Élisabeth Badinter];[-];[Luís de Barros];1996;Sinais;;Edições ASA;[Porto];2;284;;972-41-1278-0;Impresso;[Masculinidades* Identidade* Género];Disponível para requisição;
0266/AGRABS;A Ordem do Discurso;[Michel Foucault];[-];[Laura Fraga de Almeida Sampaio];1997;Filosofia;-;Relógio D'água;[Lisboa];;58;;972-708-353-6;Impresso;[Filosofia* Discurso];Disponível para requisição;
0267/AGRABS;As Cartas de Yage;[William Burroughs* Allen Ginsberg];[-];[David Alan Prescott* Teresa Alexandra Prescott];1994;Colecção Mínima;3;Ulmeiro;[Lisboa];-;98;;972-706-239-03;Impresso;[Literatura];Disponível para requisição;
0268/AGRABS;En la colonia penitenciaria;[Franz Kafka];[-];[];1919;-;;;[];;51;;-;;[Literatura];Disponível para requisição;
0269/AGRABS;No son 50, son 500 años de resistencias: 10 años de Migrantes Transgresorxs;[VV.AA.];[Migrantes Transgresorxs];[-];2019;-;-;ediciones ayllu;[Madrid];1;119;;978-84-09-12753-5;Impresso;[Transfeminismo* Descolonialidades* Branquitude* Privilégio* Dissidências sexuais e de género* Racialidade* Racismo];Disponível para requisição;
0270/AGRABS;Quem tem medo do feminismo negro?;[Djamila Ribeiro];[-];[-];2019;-;-;Companhia das Letras/Editora Schwarcz S.A.;[São Paulo];1;148;;978-85-359-3113-6;Impresso;[Feminismo* Feminismo negro* Mulheres negras* Racialidade];Disponível para requisição;
0271/AGRABS;Epistemología Ruminante;[Lucrecia Masson];[-];[-];2017;-;-;Pensaré Cartoneras;[Cidade do México];1;29;;-;Impresso;[Transfeminismo* Descolonialidades   ];Disponível para consulta;
0272/AGRABS;Ingenuidade Inocência Ignorância;[raquellima];[-];[-];2019;Boca de Incêndio;1;BOCA/Animal Sentimental;[-];1;78;;978-989-8421-43-2;Impresso;[Poesia* Literatura* Áudio-livros];Disponível para requisição;
0273/AGRABS;A cidade das mulheres;[Christine de Pisan];[-];[Ana Nereu];2007;-;-;Coisas de Ler Edições;[Almargem do Bispo];-;142;;978-972-8710-73-6;Impresso;[Mulheres* Género];Disponível para requisição;
0274/AGRABS;Anthropocentrism and Its Discontents: The Moral Status of Animals in the History of Western Philosophy;[Gary Steiner];[-];[-];2010;-;-;University of Pittsburgh Press;[Pittsburgh];-;332;;978-0-8229-6119-2;Impresso;[Antropocentrismo* Filosofia* Animais];Disponível para requisição;
0275/AGRABS;Variações sobre Sexo e Género;[-];[Ana Isabel Crespo* Ana Monteiro-Ferreira* Anabela Galhardo Couto* Isabel Cruz* Teresa Joaquim];[-];2008;Mulheres e Sociedade;-;Livros Horizonte;[Lisboa];-;174;;978-972-24-1619-1;Impresso;[Sexo* Género* Feminismo];Disponível para requisição;
0276/AGRABS;You Have the Right to Remain Fat: A Manifesto;[Virgie Tovar];[-];[-];2018;-;-;Melville House UK;[London];-;128;;978-1-91-154516-3;Impresso;[Corpo* Gordofobia* Feminismo* Descolonialidade];Disponível para requisição;
0277/AGRABS;Direitos Humanos e Identidade de Gênero. Relatório Temático de Thomas Hammarberg Comissário de Direitos Humanos do Conselho da Europa;[-];[Carsten Balzer];[Pedro Vieira da Costa Filho* Fábio Teixeira de Queiroz];2011;Transrespeito versus Transfobia no Mundo;5;Transgender Europe;[Malmo];-;56;;-;Impresso;[Transfobia* Género];Disponível para requisição;
0278/AGRABS;Género, Diversidades e Direitos Sexuais nos Laços da Inclusão;[-];[Maria Alves de Toledo Bruns* Célia Regina Vieira de Souza-Leite];[-];2012;-;-;Editora CRV;[Curitiba];-;168;;978-85-8042-363-1;Impresso;[Sexo* Género* Direitos Sexuais* Diversidade* Inclusão];Disponível para requisição;
0279/AGRABS;Gendered Transformations: Theory and Practices on Gender and Media;[-];[Tonny Krijnen* Claúdia Álvares* Sofie Van Bauwel];[-];2011;European Communication Research and Education Association Series;-;intellect;[Bristol and Chicago];1;239;;978-1-84150-366-0;Impresso;[Estudos Feministas dos Média* Género* Feminismo* Média* Jornalismo];Disponível para requisição;
0280/AGRABS;Del Texto al Sexo: Judith Butler y la Performatividad;[Pablo Pérez Navarro];[-];[-];2008;-;-;Editorial EGALES;[Barcelona y Madrid];1;185;;978-84-88052-62-9;Impresso;[Sexo* Género* Performatividade* Políticas (Pós)Identitárias];Disponível para requisição;
0281/AGRABS;La Maîtresse de Brecht;[Jacques-Pierre Amette];[-];[-];2003;-;-;Éditions Albin Michel S.A.;[Paris];1;300;;2-226-14163-4;Impresso;[Literatura* Romance];Disponível para requisição;
0282/AGRABS;(h)amor;[Brigitte Vasallo* Miguel Vagalume* María Rodríguez Suárez* Virginia Mendoza* Israel Sánchez* Sayak Valencia* Coral Herrera* Miguel Ayuso* Jara Cosculluela* Alicia Murillo];[-];[-];2015;La pasión de Mary Read ;-;Editorial ConTinta Me Tienes;[Madrid];1;192;;978-84-944176-2-7;Impresso;[Monogamia* Sexualidades* Poliamor* Anarquia relacional* Amor];Disponível para requisição;
0283/AGRABS;La construcción sociocultural del amor romântico;[Coral Herrera Gómez];[-];[-];2013;Colección Ciencia;323;Editorial Fundamentos;[Madrid];2;410;;978-84-245-1200-2;Impresso;[Amor* Monogamia* Sexualidades* Género];Disponível para requisição;
0284/AGRABS;Lucy Parsons: An American Revolutionary;[Carolyn Ashbaugh];[-];[-];2012;-;-;Haymarket Books;[Chicago, Illinois];-;288;;978-1-60846-213-1;Impresso;[História* Capitalismo* Biografias* Racismo];Disponível para requisição;
0285/AGRABS;Assata Shakur: Una Autobiografía;[Assata Shakur];[-];[Ethel Odriozola* Carmen Valle];2013;Colección Entrelíneas;-;Capitán Swing Libros;[Madrid];-;389;;978-84-940985-5-0;Impresso;[História* Biografias* Racismo];Disponível para requisição;
0286/AGRABS;In a Qu*A*re Time and Place. Post-slavery Temporalities, Blaxploitation, Sun Ra's Afrofuturism between Intersectionality and Heterogeneity;[Tim Stüttgen];[Tim Stuttgen Archiv];[-];2014;-;-;b_books;[Berlim];1;186;;978-3-942214-16-2;Impresso;[Raça* Racialidade* Sexualidades* Queer* Género* Negritude* Afrofuturismo* ];Disponível para requisição;
0287/AGRABS;La Cerda Punk: Ensayos desde un Feminismo Gordo, Lésbiko, Antikapitalista u Antiespecista;[constanzx alvarez castillo];[-];[-];2014;-;-;Trío Editorial;[Valparaíso];1;217;;-;Impresso e online;[Corpo* Gordofobia* Feminismo* Descolonialidade* Queer* Género* BDSM* Anti-especismo];Disponível para requisição;
0288/AGRABS;Transfeminismos: Epistemes, Fricciones y Flujos;[-];[Miriam Solá* Elena Urko];[-];2014;-;-;txalaparta;[Tafalla];2;334;;978-84-15313-66-3;Impresso e online;[Transfeminismo];Disponível para requisição;
0289/AGRABS;Transfeminismo: Teorias e Práticas;[-];[Jaqueline Gomes de Jesus];[-];2014;-;-;Metanoia Editora;[Rio de Janeiro];1;180;;978-85-63439-55-0;Impresso;[Transfeminismo* Psicologia* Identidade sexual];Disponível para requisição;
0290/AGRABS;Cultura de la Violación. Apuntes desde los Feminismos Decoloniales y Contrahegemónicos;[Úrsula Santa Cruz* Deyanira Schurjin* Brigitte Vasallo* Ana Llurba];[-];[-];2017;-;-;Antipersona;[-];1;62;;978-84-697-5999-8;Impresso;[Cultura da violação* Descolonialidades* Feminismo* Racismo* Género];Disponível para requisição;
0291/AGRABS;Islamofobia de Género: Islam, Colonialidad y Patriarcado;[Sirin Adlbi* Brigitte Vasallo* Salma Amzian];[-];[-];2017;Hemos Decidido Dejar de Ignorar Este Hecho;8;Pensaré Cartoneras;[-];;64;;-;Impresso;[Islamofobia* Género* Colonialidade* Feminismo* Islão];Disponível para requisição;
0292/AGRABS;Queer-Feminist Punk: An Anti-Social History;[Maria Katharina Wiedlack];[-];[-];2016;-;-;Zaglossus;[Vienna];1;428;;978-3-902902-27-6;Impresso;[Punk* Feminismo* Música* Género* Queer* Anarquismo];Disponível para requisição;
0293/AGRABS;Feminismo e Marxismo. Entre Casamentos e Divórcios;[Cinzia Arruzza];[-];[Isabel Lacerda];2010;-;-;Edições Combate;[Lisboa];1;143;;978-989-96052-4-4;Impresso;[Feminismo* Marxismo* Género* Classe];Disponível para requisição;
0294/AGRABS;Testigo_Modesto@Segundo_Milenio.HombreHembra©_Conoce_Oncoratón®. Feminismo y Tecnociencia;[Donna J. Haraway];[-];[Helena Torres];2004;Nuevas Tecnologías y Sociedad;-;Editorial UOC;[Barcelona];1;357;;84-9788-171-0;Impresso;[Tecnofeminismo* tecnociência* filosofia];Disponível para requisição;
0295/AGRABS;O Livro das Mulheres Repulsivas;[Djuna Barnes];[-];[Fernanda Borges];2007;-;-;&etc;[Lisboa];-;61;;978-972-8539-95-5;Impresso;[Poesia ];Disponível para requisição;
0296/AGRABS;Irma, Mulher de Chiapas. Entre Revolta Zapatista e Vida Quotidiana;[Élisabeth Stutz];[-];[Joana Caspurro];2001;-;-;Campo da Comunicação;[Porto];1;125;;972-8610-02-5;Impresso;[Revolução zapatista* Género];Disponível para requisição;
0297/AGRABS;Todos Devemos Ser Feministas;[Chimamanda Ngozi Adichie];[-];[Simão Sampaio];2015;-;-;Dom Quixote;[Alfragide];1;92;;978-972-20-5743-1;Impresso;[Feminismo* Racialidade];Disponível para requisição;
0298/AGRABS;El Burka como Excusa. Terrorismo Intelectual, Religioso y Moral contra la Libertad de las Mujeres;[Wassyla Tamzali* Itziar Elizondo];[-];[-];2010;Híbridos Debate;-;Saga Editorial;[Espanha];1;142;;978-84-937704-9-5;Impresso;[Feminismo* Descolonialidade* Islamofobia];Disponível para requisição;
0299/AGRABS;El Poder Olvidado. Las Mujeres ante un Islan en Cambio;[Fatima Mernissi];[-];[Tanja Gras* María Méndez];;Serie Mediterráneo;83;Icaria Editorial;[Barcelona];-;203;;84-7426-259-3;Impresso;[Feminismo* Islão* Género* Religião];Disponível para requisição;
0300/AGRABS;SCUM Manifesto;[Valerie Solanas];[-];[-];1996;-;-;AK Press;[Edinburgh, Scotland and San Francisco];-;60;;1-873176-44-9;Impresso;[Feminismo];Disponível para requisição;
0301/AGRABS;W.I.T.C.H. (Conspiración Terrorista Internacional de las Mujeres del Infierno). Comunicados y Hechizos;[VV.AA.];[-];[Inmaculada Hernández];2015;Colección Resistentes;20;La Felguera;[Madrid];5;142;;978-84-937467-9-7;Impresso;[Feminismo* Acção directa];Disponível para requisição;
0302/AGRABS;Anarcofeminismo en España. La Revista Mujeres Libres antes de la Guerra Civil;[Jesús Mª Montero Barrado];[-];[-];2003;Mujeres;2;Fundación de Estudios Libertarios Anselmo Lorenzo;[Madrid];-;195;;84-86864-58-5;Impresso;[Anarco-feminismo* Mujeres Libres* História* Memória];Disponível para requisição;
0303/AGRABS;The Peaceful Revolution: Berlin 1989/90 - The Path to German Unity ;[Jens Schöne];[-];[E.F.S.Zbikowski];2009;-;-;Berlin Story Verlag;[Berlim];1;139;;978-3-86855-012-2;Impresso;[RDA* História alemã* Revolução];Disponível para requisição;
0304/AGRABS;O Estado Burguês e a Revolução;[Rosa Luxemburgo];[-];[Carlos Leite];1979;Clássicos Antídoto;8;Antídoto;[Lisboa];-;92;;-;Impresso;[Estado* Social-democracia* Democracia* IV Internacional* Marxismo];Disponível para requisição;
0305/AGRABS;Libertação Animal;[Peter Singer];[-];[Maria de Fátima St. Aubyn];2008;Colecção Diversos Universos;10;Via Óptima;[Porto];2;290;;978-972-9360-14-5;Impresso;[Libertação animal* Especismo* Vegetarianismo];Disponível para requisição;
0306/AGRABS;Politique du Rebelle. Traité de résistance et d'insoumission;[Michel Onfray];[-];[-];2008;Le Livre de Poche;4282;Grasset;[Paris];-;345;;978-2-253-94282-5;Impresso;[Política* Classe* Resistência* Filosofia];Disponível para requisição;
0307/AGRABS;A Origem da Família, da Propriedade Privada e do Estado;[Friedrich Engels];[-];[João Pedro Gomes];2002;Biblioteca do Marxismo-Leninismo;24;Edições Avante!;[Lisboa];2;234;;972-550-138-1;Impresso;[Estado* Propriedade privada* Teoria política];Disponível para requisição;
0308/AGRABS;Sobre a Democracia e Outros Estudos;[Aldous Huxley];[-];[Luís Vianna de Sousa Ribeiro];1927;Colecção Dois Mundos;120;Edição «Livros do Brasil»;[Lisboa];-;246;;-;Impresso;[Democracia* Teoria política];Disponível para requisição;
0309/AGRABS;Teoría e Historia de la Revolución Noviolenta;[Jesús Castañar Pérez];[-];[-];2013;-;-;Virus Editorial;[Barcelona];1;327;;978-84-92559-48-0;Impresso;[Não-violência* Revolução* Acção não-violenta* Resistência* Movimentos sociais* ];Disponível para requisição;
0310/AGRABS;1984;[George Orwell];[-];[Ana Luísa Faria];2015;-;-;Antígona;[Lisboa];-;327;;978-972-608-189-0;Impresso;[Totalitarismo* Vigilância* Ficção];Disponível para requisição;
0311/AGRABS;Sociogénesis de las Brujas. El Origen de la Discriminación de la Mujer;[Vicente Romano];[-];[-];;Rompeolas;5;Editorial Popular;[Madrid];2;166;;978-84-7884-374-9;Impresso;[Economia* Mitologia* Bruxas* Género* História];Disponível para requisição;
0312/AGRABS;dibujando el género;[Gerard Coll-Planas* Maria Vidal];[-];[-];2016;-;-;EGALES Editorial;[Barcelona - Madrid];2;107;;978-84-15574-97-2;Impresso;[Género* Sexualidades* LGBT* Sexo];Disponível para requisição;
0313/AGRABS;Rote Zora;[Rote Zora];[-];[];2013;-;-;-;[-];2;188;;-;Impresso e online;[Feminismo* Acção directa* Anti-capitalismo* Resistência* História];Disponível para requisição;
0314/AGRABS;La Danza de Mili sobre el Hielo. De Piruetas, Curvas, Caídas, Saltos Dobles y del Intento de Poner los Pies en el Suelo;[Rote Zora];[-];[-];2016;-;-;Editorial Diaclasa;[Barcelona];1;150;;-;Impresso  ;[Feminismo* Acção directa* Anti-capitalismo* Resistência* História];Disponível para requisição;
0315/AGRABS;La Mirada de Michonne. Guía de autodefensa feminista;[Rubén Sànchez Ruiz];[-];[Gerard Pérez];2017;-;-;Aldarull Ediciones;[Barcelona];1;117;1;978-84-944770-6-5;Impresso ;[Auto-defesa feminista* Resistência* Feminismo];Disponível para requisição;
0316/AGRABS;Reforma social o Revolución? ;[Rosa Luxemburgo];[-];[Atílio A. Boron];2010;Colección Batalla de Ideas ;-;Ediciones Luxemburg;[Buenos Aires];1;190;;978-987-1709-03-8;Impresso;[Teoria Política* Marxismo* Revolução ];Disponível para requisição;
0317/AGRABS;Os Condenados da Terra;[Frantz Fanon];[-];[António Massano];2015;-;-;Letra Livre;[Lisboa];3;348;;978-989-8268-30-3;Impresso;[Anti-colonialismo* Descolonialidades* Racismo];Disponível para requisição;
0318/AGRABS;Arms to Fight, Arms to Protect. Women Speak Out About Conflict;[-];[Olivia Bennett* Jo Bexley* Kitty Warnock];[-];1995;-;-;Panos;[London];1;282;;1-870670-36-1;Impresso;[Conflito* Género* História];Disponível para requisição;
0319/AGRABS;Orlando;[Virginia Woolf];[-];[Ana Luísa Faria];2016;Clássicos para Leitores de Hoje;4;Relógio D'Água;[Lisboa];-;226;;978-989-641-606-5;Impresso;[Romance* Literatura];Disponível para requisição;
0320/AGRABS;A Irmã;[Sándor Márai];[-];[Piroska Felkai];2013;-;-;Dom Quixote;[Lisboa];1;213;;978-972-20-5354-9;Impresso;[Romance* Literatura];Disponível para requisição;
0321/AGRABS;Siddhartha, Um Poema Indiano;[Hermann Hesse];[-];[Pedro Miguel Dias];2013;-;-;Leya;[Alfragide];3;142;;978-989-660-207-9;Impresso;[Romance* Literatura];Disponível para requisição;
0322/AGRABS;Uma Espia na Casa do Amor;[Anaïs Nin];[-];[Maria Luísa Rodrigues de Freitas];2013;BIblioteca Erótica;-;Editora Nova Vega;[Vila do Conde];-;142;;978-989-8657-58-9;Impresso;[Literatura Erótica];Disponível para requisição;
0323/AGRABS;The Animal Rights Debate. Abolition or Regulation?;[Gary L. Francione* Robert Garner];[-];[-];2010;Critical Perspectives on Animals;-;Columbia University Press;[New York];1;273;;978-0-231-14955-6;Impresso;[Direitos dos Animais* Exploração animal* Filosofia];Disponível para requisição;
0324/AGRABS;Ética Animal, Um Tempo Novo;[-];[Fábio A. G. Oliveira* Maria Clara Dias];[-];2018;-;-;Livros Ilimitados;[Rio de Janeiro];1;201;;978-85-63194-817;Impresso;[Direitos dos Animais* Filosofia* Especismo* Ética animal* Veganismo];Disponível para requisição;
0325/AGRABS;Consome e Cala-te;[Dominique Pons];[-];[Maria Emília Moura];1973;Futuramundi;5;Editorial Futura;[Lisboa];1;148;;-;Impresso;[Consumismo* Publicidade];Disponível para requisição;
